statement,label,extracted_statement_ids,extracted_statement_texts
(33 + 31) * (7 * 16) = 7171,False,"[128000, 128011, 7, 1644, 489, 220, 2148, 8, 353, 320, 22, 353, 220, 845, 8, 284, 220, 25150, 16, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(33 + 31) * (7 * 16) = 7171<｜Assistant｜><think>
"
(3 * 9) - (12 * 7) = -56,False,"[128000, 128011, 7, 18, 353, 220, 24, 8, 482, 320, 717, 353, 220, 22, 8, 284, 482, 3487, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 * 9) - (12 * 7) = -56<｜Assistant｜><think>
"
(16 * 17) * (20 + 4) = 6526,False,"[128000, 128011, 7, 845, 353, 220, 1114, 8, 353, 320, 508, 489, 220, 19, 8, 284, 220, 23181, 21, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(16 * 17) * (20 + 4) = 6526<｜Assistant｜><think>
"
(27 - 9) - (8 - 13) = 23,True,"[128000, 128011, 7, 1544, 482, 220, 24, 8, 482, 320, 23, 482, 220, 1032, 8, 284, 220, 1419, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(27 - 9) - (8 - 13) = 23<｜Assistant｜><think>
"
(27 * 23) * (19 + 1) = 12420,True,"[128000, 128011, 7, 1544, 353, 220, 1419, 8, 353, 320, 777, 489, 220, 16, 8, 284, 220, 8874, 508, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(27 * 23) * (19 + 1) = 12420<｜Assistant｜><think>
"
(36 / 1) + (7 + 20) = 62,False,"[128000, 128011, 7, 1927, 611, 220, 16, 8, 489, 320, 22, 489, 220, 508, 8, 284, 220, 5538, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(36 / 1) + (7 + 20) = 62<｜Assistant｜><think>
"
(2 - 31) + (17 * 3) = 24,False,"[128000, 128011, 7, 17, 482, 220, 2148, 8, 489, 320, 1114, 353, 220, 18, 8, 284, 220, 1187, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(2 - 31) + (17 * 3) = 24<｜Assistant｜><think>
"
(8 - 32) + (5 - 2) = -26,False,"[128000, 128011, 7, 23, 482, 220, 843, 8, 489, 320, 20, 482, 220, 17, 8, 284, 482, 1627, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(8 - 32) + (5 - 2) = -26<｜Assistant｜><think>
"
(36 + 14) + (11 + 4) = 61,False,"[128000, 128011, 7, 1927, 489, 220, 975, 8, 489, 320, 806, 489, 220, 19, 8, 284, 220, 5547, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(36 + 14) + (11 + 4) = 61<｜Assistant｜><think>
"
(32 + 14) * (6 - 12) = -276,True,"[128000, 128011, 7, 843, 489, 220, 975, 8, 353, 320, 21, 482, 220, 717, 8, 284, 482, 16660, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(32 + 14) * (6 - 12) = -276<｜Assistant｜><think>
"
(19 + 14) - (17 - 4) = 17,False,"[128000, 128011, 7, 777, 489, 220, 975, 8, 482, 320, 1114, 482, 220, 19, 8, 284, 220, 1114, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(19 + 14) - (17 - 4) = 17<｜Assistant｜><think>
"
(29 * 6) - (9 - 7) = 172,True,"[128000, 128011, 7, 1682, 353, 220, 21, 8, 482, 320, 24, 482, 220, 22, 8, 284, 220, 10861, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(29 * 6) - (9 - 7) = 172<｜Assistant｜><think>
"
(3 - 28) + (1 + 20) = -5,False,"[128000, 128011, 7, 18, 482, 220, 1591, 8, 489, 320, 16, 489, 220, 508, 8, 284, 482, 20, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(3 - 28) + (1 + 20) = -5<｜Assistant｜><think>
"
(12 - 21) * (2 + 17) = -167,False,"[128000, 128011, 7, 717, 482, 220, 1691, 8, 353, 320, 17, 489, 220, 1114, 8, 284, 482, 11515, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(12 - 21) * (2 + 17) = -167<｜Assistant｜><think>
"
(24 - 34) * (9 * 10) = -900,True,"[128000, 128011, 7, 1187, 482, 220, 1958, 8, 353, 320, 24, 353, 220, 605, 8, 284, 482, 7467, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(24 - 34) * (9 * 10) = -900<｜Assistant｜><think>
"
(5 + 3) * (2 * 1) = 16,True,"[128000, 128011, 7, 20, 489, 220, 18, 8, 353, 320, 17, 353, 220, 16, 8, 284, 220, 845, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(5 + 3) * (2 * 1) = 16<｜Assistant｜><think>
"
(34 - 22) + (15 - 14) = 18,False,"[128000, 128011, 7, 1958, 482, 220, 1313, 8, 489, 320, 868, 482, 220, 975, 8, 284, 220, 972, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(34 - 22) + (15 - 14) = 18<｜Assistant｜><think>
"
(22 + 35) + (12 - 7) = 62,True,"[128000, 128011, 7, 1313, 489, 220, 1758, 8, 489, 320, 717, 482, 220, 22, 8, 284, 220, 5538, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(22 + 35) + (12 - 7) = 62<｜Assistant｜><think>
"
(20 + 25) + (11 - 8) = 43,False,"[128000, 128011, 7, 508, 489, 220, 914, 8, 489, 320, 806, 482, 220, 23, 8, 284, 220, 3391, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>(20 + 25) + (11 - 8) = 43<｜Assistant｜><think>
"
