Task,Category,Method,AUROC,Train_Samples,Test_Samples,Vocab_Size,Test_OOV_Pct,Top_Predictive_True,Top_Predictive_False
F0,Factual,Final_Token_OneHot,0.6331603694059906,999,464,358,22.413793103448278,"otherwise (+1.81), 5 (+1.60), capital (+1.38)","Asia (-1.58), DRC (-1.49), Nigeria (-1.36)"
F0,Factual,TFIDF_BoW,0.8121312028173763,999,464,5573,,"within (+1.90), 3 (+1.76), 2 (+1.69)","in (-2.59), Africa (-1.42), Asia (-1.40)"
F1,Factual,Final_Token_OneHot,0.5906307053941909,1100,491,314,13.64562118126273,"geographically (+1.49), countries (+1.40), all (+1.40)","true (-1.30), capital (-1.27), State (-1.03)"
F1,Factual,TFIDF_BoW,0.8349875518672201,1100,491,4829,,"in (+2.86), Asia (+2.04), Hmm (+1.65)","I'm (-2.28), within (-2.04), the (-1.99)"
F2,Factual,Final_Token_OneHot,0.5625743383883438,1033,464,268,12.284482758620689,"country (+1.29), location (+1.29), conjunction (+0.98)","Asia (-1.28), all (-1.28), province (-1.09)"
F2,Factual,TFIDF_BoW,0.820249776984835,1033,464,3523,,"evaluate (+1.53), yes (+1.38), So (+1.19)","not (-2.09), start (-1.07), sound (-1.01)"
F3,Factual,Final_Token_OneHot,0.5747040902087128,1008,478,241,12.97071129707113,"listed (+1.23), provided (+1.08), Jamaica (+1.08)","1 (-1.33), do (-1.21), UAE (-1.06)"
F3,Factual,TFIDF_BoW,0.6164553859083906,1008,478,3819,,"Since (+1.46), two (+1.11), Bangladesh (+0.90)","neither (-1.04), But (-0.97), Quezon (-0.86)"
F4,Factual,Final_Token_OneHot,0.5325026346785692,1135,568,274,9.330985915492958,"outside (+1.51), it (+1.25), isn't (+1.25)","is (-2.02), one (-2.02), Rwanda (-1.22)"
F4,Factual,TFIDF_BoW,0.6286281073709008,1135,568,4136,,"Zimbabwe (+0.91), makes (+0.87), Kakamega (+0.85)","Not (-1.39), not (-1.33), But (-1.28)"
F5,Factual,Final_Token_OneHot,0.5548083133857669,1216,562,343,6.761565836298933,"matching (+1.44), exactly (+1.16), is (+1.02)","Zealand (-1.08), Namibia (-0.91), here (-0.91)"
F5,Factual,TFIDF_BoW,0.6071532606355358,1216,562,4148,,"Nampula (+0.98), Golfe (+0.83), Pallabi (+0.82)","But (-1.82), in (-1.23), not (-1.18)"
A1,Arithmetic,Final_Token_OneHot,0.46678004535147394,675,297,362,31.313131313131315,"out (+1.84), addition (+1.31), answer (+1.07)","53 (-1.02), 87 (-1.02), problem (-1.02)"
A1,Arithmetic,TFIDF_BoW,0.6896598639455782,675,297,2266,,"any (+1.88), does (+1.29), checks (+1.12)","says (-2.17), Did (-1.08), statement (-1.04)"
A2,Arithmetic,Final_Token_OneHot,0.5455147058823528,673,286,345,30.76923076923077,"side (+1.54), correct (+1.45), equation (+1.35)","4 (-1.33), balanced (-0.84), 11 (-0.84)"
A2,Arithmetic,TFIDF_BoW,0.7404901960784314,673,286,1782,,"all (+1.55), also (+1.44), does (+1.10)","says (-2.57), minute (-1.82), But (-1.66)"
A3,Arithmetic,Final_Token_OneHot,0.49113333333333337,692,300,354,36.333333333333336,"other (+1.64), out (+1.42), 39 (+1.21)","47 (-1.02), 290 (-0.87), instead (-0.87)"
A3,Arithmetic,TFIDF_BoW,0.6662666666666667,692,300,1657,,"all (+1.00), does (+0.99), mistakes (+0.89)","says (-3.02), the (-2.19), but (-1.60)"
