statement,label,stmt1_id,stmt2_id
It is the case both that The city of Esenler is in Turkey. and that The city of Suizhou is in China..,1,120,665
It is the case both that The city of Ribeirao Preto is in Vietnam. and that The city of Incheon is in China..,0,415,844
It is the case both that The city of Basrah is in Iraq. and that The city of Akure is in Nigeria..,1,700,454
It is the case both that The city of Yibin is in China. and that The city of Bauchi is in Nigeria..,1,779,316
It is the case both that The city of Xuchang is in China. and that The city of Pokhara is in Uzbekistan..,0,783,304
It is the case both that The city of Rohini is in India. and that The city of Yingkou is in Malaysia..,0,538,62
It is the case both that The city of Katsina is in South Korea. and that The city of Nellore is in Egypt..,0,1086,395
It is the case both that The city of Xuancheng is in China. and that The city of Vladivostok is in China..,0,325,175
It is the case both that The city of Niluefer is in Turkey. and that The city of Irbid is in Jordan..,1,300,95
It is the case both that The city of Bukavu is in the Democratic Republic of the Congo. and that The city of Latakia is in Syria..,1,667,289
It is the case both that The city of Varanasi is in Vietnam. and that The city of Mbuji-Mayi is in Somalia..,0,212,19
It is the case both that The city of Omsk is in Russia. and that The city of Tucson is in China..,0,424,249
It is the case both that The city of Novosibirsk is in China. and that The city of Rui'an is in China..,0,146,515
It is the case both that The city of Jos is in India. and that The city of Kinshasa is in the Democratic Republic of the Congo..,0,340,848
It is the case both that The city of Tokyo is in Japan. and that The city of Ujjain is in India..,1,1129,21
It is the case both that The city of Zigong is in China. and that The city of Soshanguve is in India..,0,608,565
It is the case both that The city of Krasnoyarsk is in Russia. and that The city of Diyarbakir is in India..,0,1060,10
It is the case both that The city of Johor Bahru is in Malaysia. and that The city of Teresina is in South Korea..,0,1071,76
It is the case both that The city of Anqing is in China. and that The city of Tabriz is in Iran..,1,7,432
It is the case both that The city of Wanning is in China. and that The city of Islamabad is in New Zealand..,0,701,210
It is the case both that The city of Bogor is in Yemen. and that The city of Jiangyin is in China..,0,435,935
It is the case both that The city of Battagram is in Pakistan. and that The city of Kyoto is in Japan..,1,602,268
It is the case both that The city of Contagem is in Brazil. and that The city of Hegang is in Kyrgyzstan..,0,135,392
It is the case both that The city of Ujjain is in India. and that The city of Marrakesh is in Morocco..,1,21,603
It is the case both that The city of Zhangjiagang is in China. and that The city of Busan is in South Korea..,1,407,460
It is the case both that The city of Daejeon is in Rwanda. and that The city of Winnipeg is in Indonesia..,0,615,398
It is the case both that The city of Homyel' is in Belarus. and that The city of Weinan is in China..,1,589,42
It is the case both that The city of Bikaner is in India. and that The city of Malang is in Angola..,0,817,579
It is the case both that The city of Ebute Ikorodu is in Nigeria. and that The city of Omsk is in Russia..,1,386,424
It is the case both that The city of Golfe is in Angola. and that The city of Nova Iguacu is in Brazil..,1,645,691
It is the case both that The city of Yerevan is in Armenia. and that The city of Qingpu is in China..,1,376,984
It is the case both that The city of Florianopolis is in the United States. and that The city of Chattogram is in Bangladesh..,0,192,936
It is the case both that The city of Ecatepec de Morelos is in Mexico. and that The city of Abuja is in China..,0,907,156
It is the case both that The city of Kikwit is in Argentina. and that The city of Kumamoto is in Brazil..,0,970,893
It is the case both that The city of Milwaukee is in the United States. and that The city of Ulyanovsk is in Russia..,1,789,654
It is the case both that The city of Nanded is in India. and that The city of Kirkuk is in Iraq..,1,242,863
It is the case both that The city of New Kingston is in Jordan. and that The city of Esenler is in Turkey..,0,247,120
It is the case both that The city of Mosul is in North Korea. and that The city of Matola is in China..,0,217,464
It is the case both that The city of Yekaterinburg is in Iraq. and that The city of Contagem is in China..,0,746,486
It is the case both that The city of Niigata is in Japan. and that The city of Heroica Matamoros is in Mexico..,1,346,924
"It is the case both that The city of Chongming is in China. and that The city of Mianzhu, Deyang, Sichuan is in Angola..",0,14,221
It is the case both that The city of Guang'an is in China. and that The city of Katsina is in Nigeria..,1,882,262
It is the case both that The city of Florianopolis is in the United States. and that The city of Hohhot is in China..,0,192,770
It is the case both that The city of Paranaque City is in the Philippines. and that The city of Anshan is in China..,1,737,269
It is the case both that The city of Lueliang is in China. and that The city of Gqeberha is in South Africa..,1,206,72
