statement,label,countries,cities,stated_k1,stated_k2,actual_k1,actual_k2,extracted_statement_ids,extracted_statement_texts
"Exactly 5 of the following cities are in the United Arab Emirates and 0 in Tanzania: Curitiba, Al Mawsil al Jadidah, Izhevsk, Vadodara, Zanzibar, Thembisa.",0,"('the United Arab Emirates', 'Tanzania')","('Al Mawsil al Jadidah', 'Curitiba', 'Izhevsk', 'Thembisa', 'Vadodara', 'Zanzibar')",5,0,0,1,"[128000, 128011, 66457, 220, 20, 315, 279, 2768, 9919, 527, 304, 279, 3723, 10989, 49801, 323, 220, 15, 304, 69894, 25, 13182, 275, 36038, 11, 1708, 386, 8805, 321, 453, 73824, 307, 1494, 11, 48923, 81913, 4991, 11, 93212, 347, 5169, 11, 1901, 12341, 106954, 11, 666, 9034, 10994, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 5 of the following cities are in the United Arab Emirates and 0 in Tanzania: Curitiba, Al Mawsil al Jadidah, Izhevsk, Vadodara, Zanzibar, Thembisa.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Jamaica and 0 in Haiti: Tabriz, Zhoushan, Voronezh, Port-au-Prince, Zamboanga, Carrefour.",0,"('Jamaica', 'Haiti')","('Carrefour', 'Port-au-Prince', 'Tabriz', 'Voronezh', 'Zamboanga', 'Zhoushan')",0,0,0,2,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 57275, 323, 220, 15, 304, 56290, 25, 15490, 25772, 11, 34449, 788, 10118, 11, 34428, 606, 24752, 11, 5896, 83097, 12, 69032, 11, 74989, 754, 19934, 11, 3341, 1116, 414, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Jamaica and 0 in Haiti: Tabriz, Zhoushan, Voronezh, Port-au-Prince, Zamboanga, Carrefour.<｜Assistant｜><think>
"
"Exactly 3 of the following cities are in Syria and 1 in Eritrea: Homs, Kisangani, Ar Raqqah, Asmara, Ribeirao Preto, Latakia.",1,"('Syria', 'Eritrea')","('Ar Raqqah', 'Asmara', 'Homs', 'Kisangani', 'Latakia', 'Ribeirao Preto')",3,1,3,1,"[128000, 128011, 66457, 220, 18, 315, 279, 2768, 9919, 527, 304, 12911, 323, 220, 16, 304, 469, 1018, 5325, 25, 473, 7085, 11, 86737, 526, 5676, 11, 1676, 18989, 28679, 1494, 11, 1666, 76, 5169, 11, 432, 24459, 404, 3524, 5075, 998, 11, 445, 69828, 689, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 3 of the following cities are in Syria and 1 in Eritrea: Homs, Kisangani, Ar Raqqah, Asmara, Ribeirao Preto, Latakia.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Uganda and 5 in South Korea: Iztapalapa, Daejeon, Anyang-si, Suwon, Kimhae, Seongnam-si.",1,"('Uganda', 'South Korea')","('Anyang-si', 'Daejeon', 'Iztapalapa', 'Kimhae', 'Seongnam-si', 'Suwon')",0,5,0,5,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 58149, 323, 220, 20, 304, 4987, 12126, 25, 358, 11949, 391, 278, 18826, 11, 423, 6043, 3841, 263, 11, 5884, 526, 1355, 72, 11, 17360, 55767, 11, 13818, 4317, 68, 11, 1369, 647, 12682, 1355, 72, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Uganda and 5 in South Korea: Iztapalapa, Daejeon, Anyang-si, Suwon, Kimhae, Seongnam-si.<｜Assistant｜><think>
"
"Exactly 1 of the following cities are in Poland and 0 in Colombia: Soacha, Bucaramanga, Chizhou, Barranquilla, Ibague, Krakow.",0,"('Poland', 'Colombia')","('Barranquilla', 'Bucaramanga', 'Chizhou', 'Ibague', 'Krakow', 'Soacha')",1,0,1,4,"[128000, 128011, 66457, 220, 16, 315, 279, 2768, 9919, 527, 304, 28702, 323, 220, 15, 304, 39133, 25, 2100, 52676, 11, 426, 1791, 640, 19934, 11, 921, 450, 18664, 11, 32817, 276, 447, 6374, 11, 58597, 4768, 11, 89543, 363, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 1 of the following cities are in Poland and 0 in Colombia: Soacha, Bucaramanga, Chizhou, Barranquilla, Ibague, Krakow.<｜Assistant｜><think>
"
"Exactly 5 of the following cities are in South Africa and 1 in Jamaica: Soweto, Benoni, Gqeberha, Thembisa, Hohhot, Soshanguve.",0,"('South Africa', 'Jamaica')","('Benoni', 'Gqeberha', 'Hohhot', 'Soshanguve', 'Soweto', 'Thembisa')",5,1,5,0,"[128000, 128011, 66457, 220, 20, 315, 279, 2768, 9919, 527, 304, 4987, 10384, 323, 220, 16, 304, 57275, 25, 328, 363, 11269, 11, 7505, 21446, 11, 480, 79224, 655, 4317, 11, 666, 9034, 10994, 11, 473, 2319, 10847, 11, 328, 9451, 2379, 588, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 5 of the following cities are in South Africa and 1 in Jamaica: Soweto, Benoni, Gqeberha, Thembisa, Hohhot, Soshanguve.<｜Assistant｜><think>
"
"Exactly 0 of the following cities are in Poland and 2 in Malaysia: Yerevan, Panzhihua, Kota Bharu, Erode, Hongkou, Ipoh.",1,"('Poland', 'Malaysia')","('Erode', 'Hongkou', 'Ipoh', 'Kota Bharu', 'Panzhihua', 'Yerevan')",0,2,0,2,"[128000, 128011, 66457, 220, 15, 315, 279, 2768, 9919, 527, 304, 28702, 323, 220, 17, 304, 28796, 25, 816, 486, 16023, 11, 11233, 89, 6151, 92336, 11, 93315, 67692, 84, 11, 469, 299, 451, 11, 19730, 101655, 11, 36133, 2319, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 0 of the following cities are in Poland and 2 in Malaysia: Yerevan, Panzhihua, Kota Bharu, Erode, Hongkou, Ipoh.<｜Assistant｜><think>
"
"Exactly 4 of the following cities are in Macedonia and 2 in South Africa: Cape Town, Aktobe, Pietermaritzburg, Benoni, Thembisa, Nakuru.",0,"('Macedonia', 'South Africa')","('Aktobe', 'Benoni', 'Cape Town', 'Nakuru', 'Pietermaritzburg', 'Thembisa')",4,2,0,4,"[128000, 128011, 66457, 220, 19, 315, 279, 2768, 9919, 527, 304, 77509, 323, 220, 17, 304, 4987, 10384, 25, 29715, 14298, 11, 50196, 15784, 11, 21286, 1430, 5730, 11289, 10481, 11, 7505, 21446, 11, 666, 9034, 10994, 11, 44329, 21585, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 4 of the following cities are in Macedonia and 2 in South Africa: Cape Town, Aktobe, Pietermaritzburg, Benoni, Thembisa, Nakuru.<｜Assistant｜><think>
"
"Exactly 5 of the following cities are in Angola and 0 in Iran: Cabinda, Zahedan, Orumiyeh, Lubango, Calumbo, Karaj.",0,"('Angola', 'Iran')","('Cabinda', 'Calumbo', 'Karaj', 'Lubango', 'Orumiyeh', 'Zahedan')",5,0,3,3,"[128000, 128011, 66457, 220, 20, 315, 279, 2768, 9919, 527, 304, 98792, 323, 220, 15, 304, 10471, 25, 27200, 17872, 11, 97955, 291, 276, 11, 2582, 372, 16618, 2701, 11, 58751, 5281, 11, 3400, 49709, 11, 13528, 1662, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 5 of the following cities are in Angola and 0 in Iran: Cabinda, Zahedan, Orumiyeh, Lubango, Calumbo, Karaj.<｜Assistant｜><think>
"
"Exactly 4 of the following cities are in Azerbaijan and 0 in Iran: Zahedan, Karaj, Meizhou, Ahvaz, Barquisimeto, Bandar Lampung.",0,"('Azerbaijan', 'Iran')","('Ahvaz', 'Bandar Lampung', 'Barquisimeto', 'Karaj', 'Meizhou', 'Zahedan')",4,0,0,3,"[128000, 128011, 66457, 220, 19, 315, 279, 2768, 9919, 527, 304, 74577, 323, 220, 15, 304, 10471, 25, 97955, 291, 276, 11, 13528, 1662, 11, 2206, 450, 18664, 11, 16770, 85, 1394, 11, 4821, 9383, 318, 11269, 11, 17366, 277, 42277, 2234, 13, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>Exactly 4 of the following cities are in Azerbaijan and 0 in Iran: Zahedan, Karaj, Meizhou, Ahvaz, Barquisimeto, Bandar Lampung.<｜Assistant｜><think>
"
