Task,Category,Method,AUROC,Train_Samples,Test_Samples,Vocab_Size,Test_OOV_Pct,Top_Predictive_True,Top_Predictive_False
F0,Factual,Final_Token_OneHot,0.6271472191521645,999,464,352,22.198275862068968,"otherwise (+1.81), 5 (+1.59), capital (+1.38)","asia (-1.58), drc (-1.49), nigeria (-1.37)"
F0,Factual,TFIDF_BoW,0.788340857576382,999,464,5206,,"within (+1.93), 3 (+1.78), 2 (+1.70)","in (-2.77), africa (-1.48), asia (-1.44)"
F1,Factual,Final_Token_OneHot,0.6006556016597511,1100,491,306,13.64562118126273,"geographically (+1.48), countries (+1.40), all (+1.40)","true (-1.28), capital (-1.27), state (-1.17)"
F1,Factual,TFIDF_BoW,0.8316016597510374,1100,491,4518,,"in (+2.98), asia (+2.04), hmm (+1.70)","i'm (-2.29), within (-2.07), trying (-1.86)"
F2,Factual,Final_Token_OneHot,0.5634199375557539,1033,464,267,11.206896551724139,"country (+1.29), location (+1.29), conjunction (+0.98)","asia (-1.28), all (-1.28), province (-1.09)"
F2,Factual,TFIDF_BoW,0.8125,1033,464,3324,,"evaluate (+1.53), just (+1.28), any (+1.19)","not (-2.09), start (-1.06), sound (-1.02)"
F3,Factual,Final_Token_OneHot,0.5586304104216279,1008,478,239,12.552301255230125,"listed (+1.20), jamaica (+1.07), provided (+1.07)","1 (-1.30), do (-1.18), hungary (-1.05)"
F3,Factual,TFIDF_BoW,0.6043038240649952,1008,478,3600,,"two (+1.10), bangladesh (+0.90), indeed (+0.87)","neither (-1.13), but (-0.95), quezon (-0.89)"
F4,Factual,Final_Token_OneHot,0.5320190936705722,1135,568,274,9.330985915492958,"outside (+1.51), it (+1.25), isn't (+1.25)","is (-2.02), one (-2.02), chile (-1.22)"
F4,Factual,TFIDF_BoW,0.6272642737586014,1135,568,3852,,"zimbabwe (+0.90), makes (+0.87), kakamega (+0.85)","not (-1.94), original (-1.27), in (-1.14)"
F5,Factual,Final_Token_OneHot,0.5577086262142685,1216,562,341,6.583629893238434,"matching (+1.45), exactly (+1.16), is (+1.02)","zealand (-1.07), denmark (-0.91), here (-0.91)"
F5,Factual,TFIDF_BoW,0.6038856592829008,1216,562,3864,,"nampula (+0.98), golfe (+0.84), pallabi (+0.83)","but (-1.98), wait (-1.16), not (-1.09)"
A1,Arithmetic,Final_Token_OneHot,0.46678004535147394,675,297,362,31.313131313131315,"out (+1.84), addition (+1.31), answer (+1.07)","53 (-1.02), 87 (-1.02), problem (-1.02)"
A1,Arithmetic,TFIDF_BoW,0.6882086167800454,675,297,2105,,"any (+1.89), does (+1.30), checks (+1.12)","says (-2.17), wait (-1.23), statement (-1.04)"
A2,Arithmetic,Final_Token_OneHot,0.5455147058823528,673,286,345,30.76923076923077,"side (+1.54), correct (+1.45), equation (+1.35)","4 (-1.33), balanced (-0.84), 11 (-0.84)"
A2,Arithmetic,TFIDF_BoW,0.7412254901960784,673,286,1663,,"all (+1.55), putting (+1.53), also (+1.47)","says (-2.55), but (-2.41), minute (-1.80)"
A3,Arithmetic,Final_Token_OneHot,0.49113333333333337,692,300,354,36.333333333333336,"other (+1.64), out (+1.42), 39 (+1.21)","47 (-1.02), 290 (-0.87), instead (-0.87)"
A3,Arithmetic,TFIDF_BoW,0.6609333333333334,692,300,1540,,"all (+1.00), does (+1.00), putting (+0.91)","says (-3.00), but (-2.27), the (-2.09)"
