statement,label,country,cities,stated_k,actual_k
"Exactly 2 of the following cities are in Trinidad and Tobago: Riga, Tiruchirappalli.",0,Trinidad and Tobago,"('Riga', 'Tiruchirappalli')",2,0
"Exactly 2 of the following cities are in Ecuador: Suginami, Sanaa.",0,Ecuador,"('Sanaa', 'Suginami')",2,0
"Exactly 2 of the following cities are in Mexico: Naucalpan de Juarez, Santiago de Queretaro.",1,Mexico,"('Naucalpan de Juarez', 'Santiago de Queretaro')",2,2
"Exactly 0 of the following cities are in Latvia: Riga, Naberezhnyye Chelny.",0,Latvia,"('Naberezhnyye Chelny', 'Riga')",0,1
"Exactly 0 of the following cities are in Djibouti: Tangshan, Ningbo.",1,Djibouti,"('Ningbo', 'Tangshan')",0,0
"Exactly 1 of the following cities are in France: Sao Jose dos Campos, Caracas.",0,France,"('Caracas', 'Sao Jose dos Campos')",1,0
"Exactly 1 of the following cities are in Zimbabwe: Arifwala, Harare.",1,Zimbabwe,"('Arifwala', 'Harare')",1,1
"Exactly 0 of the following cities are in the Democratic Republic of the Congo: Mbuji-Mayi, Islamabad.",0,the Democratic Republic of the Congo,"('Islamabad', 'Mbuji-Mayi')",0,1
"Exactly 1 of the following cities are in Kazakhstan: Aktobe, Mulenvos.",1,Kazakhstan,"('Aktobe', 'Mulenvos')",1,1
"Exactly 0 of the following cities are in Latvia: Caracas, Banjarmasin.",1,Latvia,"('Banjarmasin', 'Caracas')",0,0
"Exactly 2 of the following cities are in Niger: Enugu, Saratov.",0,Niger,"('Enugu', 'Saratov')",2,0
"Exactly 0 of the following cities are in Sudan: Nyala, Khartoum.",0,Sudan,"('Khartoum', 'Nyala')",0,2
"Exactly 2 of the following cities are in Angola: Hoji ya Henda, Kikolo.",1,Angola,"('Hoji ya Henda', 'Kikolo')",2,2
"Exactly 0 of the following cities are in Poland: Wroclaw, Tashkent.",0,Poland,"('Tashkent', 'Wroclaw')",0,1
"Exactly 2 of the following cities are in Iraq: Nagoya, Erbil.",0,Iraq,"('Erbil', 'Nagoya')",2,1
"Exactly 1 of the following cities are in Norway: Paranaque City, Oslo.",1,Norway,"('Oslo', 'Paranaque City')",1,1
"Exactly 1 of the following cities are in Malaysia: Krakow, Malacca.",1,Malaysia,"('Krakow', 'Malacca')",1,1
"Exactly 0 of the following cities are in Djibouti: Balbala, Qiqihar.",0,Djibouti,"('Balbala', 'Qiqihar')",0,1
"Exactly 2 of the following cities are in the Dominican Republic: Sao Bernardo do Campo, Shah Alam.",0,the Dominican Republic,"('Sao Bernardo do Campo', 'Shah Alam')",2,0
"Exactly 0 of the following cities are in Tonga: Zanzibar, Vladivostok.",1,Tonga,"('Vladivostok', 'Zanzibar')",0,0
"Exactly 0 of the following cities are in Lesotho: Tiruchirappalli, Naberezhnyye Chelny.",1,Lesotho,"('Naberezhnyye Chelny', 'Tiruchirappalli')",0,0
"Exactly 2 of the following cities are in Malaysia: Iskandar Puteri, Pelentong.",1,Malaysia,"('Iskandar Puteri', 'Pelentong')",2,2
"Exactly 1 of the following cities are in Croatia: Ananindeua, Sulaymaniyah.",0,Croatia,"('Ananindeua', 'Sulaymaniyah')",1,0
"Exactly 0 of the following cities are in Denmark: Zhaoqing, Copenhagen.",0,Denmark,"('Copenhagen', 'Zhaoqing')",0,1
"Exactly 0 of the following cities are in Cuba: Santiago de Cuba, Dalian.",0,Cuba,"('Dalian', 'Santiago de Cuba')",0,1
"Exactly 2 of the following cities are in Pakistan: Rahim Yar Khan, Bahawalpur.",1,Pakistan,"('Bahawalpur', 'Rahim Yar Khan')",2,2
"Exactly 1 of the following cities are in Nauru: Langfang, Zarqa.",0,Nauru,"('Langfang', 'Zarqa')",1,0
"Exactly 2 of the following cities are in Pakistan: Dera Ismail Khan, Sukkur.",1,Pakistan,"('Dera Ismail Khan', 'Sukkur')",2,2
"Exactly 2 of the following cities are in Angola: Golfe, Benguela.",1,Angola,"('Benguela', 'Golfe')",2,2
"Exactly 2 of the following cities are in Germany: Munich, Hannover.",1,Germany,"('Hannover', 'Munich')",2,2
"Exactly 1 of the following cities are in the United States: Albuquerque, Indianapolis.",0,the United States,"('Albuquerque', 'Indianapolis')",1,2
"Exactly 0 of the following cities are in Nigeria: Abuja, Ibadan.",0,Nigeria,"('Abuja', 'Ibadan')",0,2
"Exactly 2 of the following cities are in Chad: N'Djamena, Hebi.",0,Chad,"('Hebi', ""N'Djamena"")",2,1
"Exactly 2 of the following cities are in South Africa: Evaton, Cape Town.",1,South Africa,"('Cape Town', 'Evaton')",2,2
"Exactly 0 of the following cities are in Swaziland: Shah Alam, Vladivostok.",1,Swaziland,"('Shah Alam', 'Vladivostok')",0,0
"Exactly 1 of the following cities are in Uganda: Fortaleza, Saint Petersburg.",0,Uganda,"('Fortaleza', 'Saint Petersburg')",1,0
"Exactly 1 of the following cities are in Tonga: Chicago, Izmir.",0,Tonga,"('Chicago', 'Izmir')",1,0
"Exactly 1 of the following cities are in Myanmar: Tangier, Mandalay.",1,Myanmar,"('Mandalay', 'Tangier')",1,1
"Exactly 0 of the following cities are in Cambodia: Aihara, Agege.",1,Cambodia,"('Agege', 'Aihara')",0,0
"Exactly 2 of the following cities are in Bosnia and Herzegovina: Cuttack, Ibb.",0,Bosnia and Herzegovina,"('Cuttack', 'Ibb')",2,0
"Exactly 0 of the following cities are in Egypt: Al Fayyum, Gustavo Adolfo Madero.",0,Egypt,"('Al Fayyum', 'Gustavo Adolfo Madero')",0,1
"Exactly 0 of the following cities are in Tuvalu: Libreville, The Bronx.",1,Tuvalu,"('Libreville', 'The Bronx')",0,0
"Exactly 0 of the following cities are in Haiti: Thembisa, Port-au-Prince.",0,Haiti,"('Port-au-Prince', 'Thembisa')",0,1
"Exactly 2 of the following cities are in Angola: Cabinda, Calumbo.",1,Angola,"('Cabinda', 'Calumbo')",2,2
"Exactly 1 of the following cities are in Syria: Latakia, Gazipur.",1,Syria,"('Gazipur', 'Latakia')",1,1
"Exactly 1 of the following cities are in Burkina Faso: Tlalpan, Nanning.",0,Burkina Faso,"('Nanning', 'Tlalpan')",1,0
"Exactly 2 of the following cities are in the Democratic Republic of the Congo: Tshikapa, Kisangani.",1,the Democratic Republic of the Congo,"('Kisangani', 'Tshikapa')",2,2
"Exactly 2 of the following cities are in Tanzania: Dodoma, Arusha.",1,Tanzania,"('Arusha', 'Dodoma')",2,2
"Exactly 0 of the following cities are in Venezuela: Maturin, Barquisimeto.",0,Venezuela,"('Barquisimeto', 'Maturin')",0,2
"Exactly 2 of the following cities are in Japan: Hiroshima, Suginami.",1,Japan,"('Hiroshima', 'Suginami')",2,2
"Exactly 1 of the following cities are in Ukraine: Odesa, E'zhou.",1,Ukraine,"(""E'zhou"", 'Odesa')",1,1
"Exactly 1 of the following cities are in Venezuela: Chattogram, Zhangjiagang.",0,Venezuela,"('Chattogram', 'Zhangjiagang')",1,0
"Exactly 2 of the following cities are in Nigeria: Zaria, Ibadan.",1,Nigeria,"('Ibadan', 'Zaria')",2,2
"Exactly 2 of the following cities are in Gabon: Muntinlupa, Pingdingshan.",0,Gabon,"('Muntinlupa', 'Pingdingshan')",2,0
"Exactly 2 of the following cities are in the Democratic Republic of the Congo: Tshikapa, Kinshasa.",1,the Democratic Republic of the Congo,"('Kinshasa', 'Tshikapa')",2,2
