statement,label,stmt1_id,stmt2_id,extracted_statement_ids,extracted_statement_texts
It is the case both that The city of Esenler is in Turkey. and that The city of Suizhou is in China..,1,120,665,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 9419, 118397, 374, 304, 17442, 13, 323, 430, 578, 3363, 315, 17360, 450, 18664, 374, 304, 5734, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Esenler is in Turkey. and that The city of Suizhou is in China..<｜Assistant｜><think>
"
It is the case both that The city of Ribeirao Preto is in Vietnam. and that The city of Incheon is in China..,0,415,844,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 432, 24459, 404, 3524, 5075, 998, 374, 304, 23315, 13, 323, 430, 578, 3363, 315, 763, 76269, 374, 304, 5734, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Ribeirao Preto is in Vietnam. and that The city of Incheon is in China..<｜Assistant｜><think>
"
It is the case both that The city of Basrah is in Iraq. and that The city of Akure is in Nigeria..,1,700,454,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 15004, 33607, 374, 304, 11340, 13, 323, 430, 578, 3363, 315, 16762, 554, 374, 304, 29258, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Basrah is in Iraq. and that The city of Akure is in Nigeria..<｜Assistant｜><think>
"
It is the case both that The city of Yibin is in China. and that The city of Bauchi is in Nigeria..,1,779,316,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 816, 581, 258, 374, 304, 5734, 13, 323, 430, 578, 3363, 315, 14659, 56017, 374, 304, 29258, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Yibin is in China. and that The city of Bauchi is in Nigeria..<｜Assistant｜><think>
"
It is the case both that The city of Xuchang is in China. and that The city of Pokhara is in Uzbekistan..,0,783,304,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 1630, 1412, 526, 374, 304, 5734, 13, 323, 430, 578, 3363, 315, 23166, 71, 5169, 374, 304, 90959, 9121, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Xuchang is in China. and that The city of Pokhara is in Uzbekistan..<｜Assistant｜><think>
"
It is the case both that The city of Rohini is in India. and that The city of Yingkou is in Malaysia..,0,538,62,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 42087, 6729, 374, 304, 6890, 13, 323, 430, 578, 3363, 315, 88770, 101655, 374, 304, 28796, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Rohini is in India. and that The city of Yingkou is in Malaysia..<｜Assistant｜><think>
"
It is the case both that The city of Katsina is in South Korea. and that The city of Nellore is in Egypt..,0,1086,395,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 735, 1900, 2259, 374, 304, 4987, 12126, 13, 323, 430, 578, 3363, 315, 452, 4896, 265, 374, 304, 15212, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Katsina is in South Korea. and that The city of Nellore is in Egypt..<｜Assistant｜><think>
"
It is the case both that The city of Xuancheng is in China. and that The city of Vladivostok is in China..,0,325,175,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 57514, 3581, 833, 374, 304, 5734, 13, 323, 430, 578, 3363, 315, 30734, 344, 537, 564, 374, 304, 5734, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Xuancheng is in China. and that The city of Vladivostok is in China..<｜Assistant｜><think>
"
It is the case both that The city of Niluefer is in Turkey. and that The city of Irbid is in Jordan..,1,300,95,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 33374, 361, 809, 374, 304, 17442, 13, 323, 430, 578, 3363, 315, 358, 10910, 307, 374, 304, 17527, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Niluefer is in Turkey. and that The city of Irbid is in Jordan..<｜Assistant｜><think>
"
It is the case both that The city of Bukavu is in the Democratic Republic of the Congo. and that The city of Latakia is in Syria..,1,667,289,"[128000, 128011, 2181, 374, 279, 1162, 2225, 430, 578, 3363, 315, 70950, 402, 84, 374, 304, 279, 11650, 5545, 315, 279, 54932, 13, 323, 430, 578, 3363, 315, 445, 69828, 689, 374, 304, 12911, 497, 128012, 128013, 198]","<｜begin▁of▁sentence｜><｜User｜>It is the case both that The city of Bukavu is in the Democratic Republic of the Congo. and that The city of Latakia is in Syria..<｜Assistant｜><think>
"
