train_task,test_task,train_condition,test_condition,layer,model,auroc
A1,A2,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,A2,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.5615555555555556
A1,A2,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.5477342047930283
A1,A2,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.5457167755991286
A1,A2,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.5444575163398693
A1,A2,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.5433202614379086
A1,A2,ablation-filler-token,ablation-filler-token,6,deepseek-r1-distill-8b,0.5411198257080609
A1,A2,ablation-filler-token,ablation-filler-token,7,deepseek-r1-distill-8b,0.5393420479302833
A1,A2,ablation-filler-token,ablation-filler-token,8,deepseek-r1-distill-8b,0.5385185185185185
A1,A2,ablation-filler-token,ablation-filler-token,9,deepseek-r1-distill-8b,0.538078431372549
A1,A2,ablation-filler-token,ablation-filler-token,10,deepseek-r1-distill-8b,0.5385141612200436
A1,A2,ablation-filler-token,ablation-filler-token,11,deepseek-r1-distill-8b,0.5381263616557734
A1,A2,ablation-filler-token,ablation-filler-token,12,deepseek-r1-distill-8b,0.5377342047930284
A1,A2,ablation-filler-token,ablation-filler-token,13,deepseek-r1-distill-8b,0.5378954248366014
A1,A2,ablation-filler-token,ablation-filler-token,14,deepseek-r1-distill-8b,0.5379433551198257
A1,A2,ablation-filler-token,ablation-filler-token,15,deepseek-r1-distill-8b,0.5378649237472766
A1,A2,ablation-filler-token,ablation-filler-token,16,deepseek-r1-distill-8b,0.5374814814814814
A1,A2,ablation-filler-token,ablation-filler-token,17,deepseek-r1-distill-8b,0.5385577342047931
A1,A2,ablation-filler-token,ablation-filler-token,18,deepseek-r1-distill-8b,0.5402962962962963
A1,A2,ablation-filler-token,ablation-filler-token,19,deepseek-r1-distill-8b,0.5421873638344227
A1,A2,ablation-filler-token,ablation-filler-token,20,deepseek-r1-distill-8b,0.5453507625272331
A1,A2,ablation-filler-token,ablation-filler-token,21,deepseek-r1-distill-8b,0.5473115468409586
A1,A2,ablation-filler-token,ablation-filler-token,22,deepseek-r1-distill-8b,0.5506884531590414
A1,A2,ablation-filler-token,ablation-filler-token,23,deepseek-r1-distill-8b,0.5526361655773421
A1,A2,ablation-filler-token,ablation-filler-token,24,deepseek-r1-distill-8b,0.5532636165577342
A1,A2,ablation-filler-token,ablation-filler-token,25,deepseek-r1-distill-8b,0.5667821350762527
A1,A2,ablation-filler-token,ablation-filler-token,26,deepseek-r1-distill-8b,0.5802222222222222
A1,A2,ablation-filler-token,ablation-filler-token,27,deepseek-r1-distill-8b,0.5971503267973857
A1,A2,ablation-filler-token,ablation-filler-token,28,deepseek-r1-distill-8b,0.6171089324618737
A1,A2,ablation-filler-token,ablation-filler-token,29,deepseek-r1-distill-8b,0.6239389978213508
A1,A2,ablation-filler-token,ablation-filler-token,30,deepseek-r1-distill-8b,0.6301873638344226
A1,A2,ablation-filler-token,ablation-filler-token,31,deepseek-r1-distill-8b,0.6298997821350764
A1,A2,ablation-filler-token,ablation-filler-token,32,deepseek-r1-distill-8b,0.6019433551198257
A1,A3,ablation-filler-token,ablation-filler-token,0,deepseek-r1-distill-8b,0.5
A1,A3,ablation-filler-token,ablation-filler-token,1,deepseek-r1-distill-8b,0.5358048780487805
A1,A3,ablation-filler-token,ablation-filler-token,2,deepseek-r1-distill-8b,0.5293170731707317
A1,A3,ablation-filler-token,ablation-filler-token,3,deepseek-r1-distill-8b,0.5233414634146341
A1,A3,ablation-filler-token,ablation-filler-token,4,deepseek-r1-distill-8b,0.5228048780487805
A1,A3,ablation-filler-token,ablation-filler-token,5,deepseek-r1-distill-8b,0.5215325203252033
